Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2015","2015","ha","40","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01929.07","Abaca, manila hemp, raw","2015","2015","kg/ha","1208.1","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2016","2016","ha","42","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01929.07","Abaca, manila hemp, raw","2016","2016","kg/ha","1132.9","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2017","2017","ha","42","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01929.07","Abaca, manila hemp, raw","2017","2017","kg/ha","1135.1","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2018","2018","ha","42","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01929.07","Abaca, manila hemp, raw","2018","2018","kg/ha","1149.4","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2019","2019","ha","43","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01929.07","Abaca, manila hemp, raw","2019","2019","kg/ha","1143.9","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2020","2020","ha","44","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01929.07","Abaca, manila hemp, raw","2020","2020","kg/ha","1149","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2021","2021","ha","44","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01929.07","Abaca, manila hemp, raw","2021","2021","kg/ha","1150.3","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2022","2022","ha","45","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01929.07","Abaca, manila hemp, raw","2022","2022","kg/ha","1148.5","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2023","2023","ha","45","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01929.07","Abaca, manila hemp, raw","2023","2023","kg/ha","1148.5","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2024","2024","ha","45","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01929.07","Abaca, manila hemp, raw","2024","2024","kg/ha","1148.5","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2015","2015","ha","643","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2015","2015","kg/ha","10083.3","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2016","2016","ha","659","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2016","2016","kg/ha","10085.7","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","ha","675","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","kg/ha","10088.1","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2018","2018","ha","692","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2018","2018","kg/ha","10090.5","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2019","2019","ha","771","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2019","2019","kg/ha","10081.2","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","ha","885","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","kg/ha","10104","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","ha","1123","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","kg/ha","13895.8","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","ha","1227","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","kg/ha","14553.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","ha","1270","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","kg/ha","14648.8","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2024","2024","ha","1125","A","Official figure",""
